"Date","Price","Open","High","Low","Vol.","Change %"
"2022-04-13","123.22","123.05","124.30","122.89","17.19M","0.20%"
"2022-04-12","122.97","124.05","124.16","122.67","23.12M","-0.14%"
"2022-04-11","123.14","123.92","124.19","122.56","30.02M","-1.58%"
"2022-04-08","125.12","125.45","125.83","124.26","26.86M","-1.08%"
"2022-04-07","126.49","126.11","126.67","125.41","23.46M","-0.75%"
"2022-04-06","127.45","126.43","128.30","126.40","22.95M","-0.81%"
"2022-04-05","128.49","130.76","130.77","128.29","25.20M","-2.26%"
"2022-04-04","131.46","131.93","131.98","130.71","13.61M","-0.69%"
"2022-04-01","132.38","130.01","132.96","129.71","23.49M","0.23%"
"2022-03-31","132.08","131.98","132.67","131.66","19.90M","0.24%"
"2022-03-30","131.76","130.07","132.01","129.99","16.31M","0.78%"
"2022-03-29","130.74","130.56","131.55","129.74","19.32M","0.76%"
"2022-03-28","129.76","129.39","130.56","129.04","17.66M","0.85%"
"2022-03-25","128.66","129.50","129.52","127.65","25.69M","-1.39%"
"2022-03-24","130.47","129.65","131.18","129.60","17.14M","-0.78%"
"2022-03-23","131.50","129.37","131.60","128.86","21.27M","2.19%"
"2022-03-22","128.68","128.96","129.34","128.34","21.83M","-1.28%"
"2022-03-21","130.35","131.28","131.67","129.75","26.12M","-2.32%"
"2022-03-18","133.44","132.57","133.54","132.57","55.89M","1.22%"
"2022-03-17","131.83","132.82","133.34","131.07","19.33M","-0.75%"
"2022-03-16","132.82","131.83","133.13","130.32","25.86M","0.98%"
"2022-03-15","131.53","132.86","133.15","131.19","17.52M","-0.17%"
"2022-03-14","131.76","132.70","132.89","131.72","24.38M","-2.33%"
"2022-03-11","134.91","134.33","135.45","134.21","15.58M","0.33%"
"2022-03-10","134.46","134.83","135.17","133.72","26.87M","-1.44%"
"2022-03-09","136.42","137.07","137.34","136.13","18.82M","-0.98%"
"2022-03-08","137.77","137.51","138.25","137.25","28.33M","-1.01%"
"2022-03-07","139.17","139.12","140.64","138.77","23.71M","-0.76%"
"2022-03-04","140.24","140.36","140.82","139.30","25.85M","1.73%"
"2022-03-03","137.86","137.49","138.70","137.02","20.65M","1.02%"
"2022-03-02","136.47","139.84","140.42","136.41","30.40M","-3.42%"
"2022-03-01","141.30","140.36","142.33","140.00","35.66M","1.02%"
"2022-02-28","139.87","138.43","140.04","138.32","25.82M","2.19%"
"2022-02-25","136.87","136.86","137.31","136.18","15.03M","0.07%"
"2022-02-24","136.77","139.10","139.37","136.25","28.15M","0.07%"
"2022-02-23","136.68","137.68","137.85","136.57","17.76M","-1.38%"
